date,departing_international_flights,arriving_international_flights,departing__international_passengers,arriving_international_passengers,departing_domestic_flights,arriving_domestic_flights,departing__domestic_passengers,arriving_domestic_passengers
2016-01-01,4323,4351,921618,765773,6617,6608,839710,938484
2016-02-01,4077,4108,788340,695343,6216,6201,821177,856096
2016-03-01,4323,4359,793846,830096,6693,6682,884743,853194
2016-04-01,4273,4314,873412,803717,6761,6756,962314,953220
2016-05-01,4389,4414,875112,809564,7040,7020,957781,984983
2016-06-01,4240,4257,773215,771438,6542,6543,865337,889557
2016-07-01,4380,4389,785191,825537,6498,6486,818413,819309
2016-08-01,4301,4356,820701,694889,6416,6411,777282,827396
2016-09-01,4112,4135,698134,656635,6040,6027,741067,753370
2016-10-01,4292,4320,742312,718103,6232,6198,814400,801416
2016-11-01,4414,4075,743205,778325,6122,6123,798093,843953
2016-12-01,4656,4469,775795,998067,6358,6396,936011,841108
2017-01-01,4670,4724,993417,880849,6638,6651,897047,975441
2017-02-01,4223,4249,854007,740482,5836,5916,782378,838632
2017-03-01,4590,4622,859826,873038,6296,6347,871997,880398
2017-04-01,4587,4611,978411,951466,6401,6363,967502,943904
2017-05-01,4716,4734,967839,918669,6616,6673,967697,1006931
2017-06-01,4509,4510,848073,856815,6260,6259,831699,853305
2017-07-01,4577,4594,839811,906335,6277,6268,853750,864879
2017-08-01,4571,4580,905741,793658,6315,6285,834963,874010
2017-09-01,4228,4234,744668,731049,5905,6091,778262,793823
2017-10-01,4457,4465,804500,836347,6140,6338,871771,864118
2017-11-01,4458,4462,822697,901330,5626,5596,823199,850102
2017-12-01,4816,4808,851576,1096967,6145,6129,973155,865950
2018-01-01,4786,4788,1064881,923249,6193,6180,876981,946998
2018-02-01,4255,4264,895647,819373,5537,5533,809618,835151
2018-03-01,4769,4738,962737,990952,6264,6232,938809,872877
2018-04-01,4724,4734,1026512,1018461,6339,6324,1007001,1002761
2018-05-01,4899,4898,1052704,1008519,6858,6860,1085093,1083992
2018-06-01,4760,4766,968200,985647,6446,6433,939530,947596
2018-07-01,4785,4799,940738,1008881,6455,6436,896851,896847
2018-08-01,4776,4696,992556,874180,6137,6129,871899,902312
2018-09-01,4535,4533,859325,799986,6082,6092,836829,834211
2018-10-01,4855,4821,912032,877328,4499,4473,915688,904630
2018-11-01,4694,4687,905709,969512,5690,5720,873099,888747
2018-12-01,5125,5130,936686,1179695,6484,6485,1006132,907146
2019-01-01,5049,5055,1153140,1028520,6231,6227,919156,977807
2019-02-01,4600,4604,992714,905574,5712,5716,840465,867837
2019-03-01,5079,5069,1007424,1049031,6408,6395,958469,928052
2019-04-01,5110,5109,1111237,1112783,6689,6670,1043533,1005953
2019-05-01,5335,5296,1159570,1074583,6745,6728,1070520,1078566
2019-06-01,5117,5116,1051199,1076178,6572,6550,987702,1014515
2019-07-01,5199,5198,1040017,1103614,6735,6715,960274,970252
2019-08-01,5195,5186,1080482,955523,6525,6500,918993,948609
2019-09-01,5034,5026,909576,866098,6092,6079,841403,859943
2019-10-01,5208,5199,993764,976194,6522,6503,935851,936980
2019-11-01,5170,5179,991677,1062930,6464,6458,922727,941565
2019-12-01,5377,5392,1036864,1245747,6705,6687,1051451,932984
2020-01-01,5301,5296,1172514,1070153,6713,6707,964960,1025694
2020-02-01,3914,3924,757787,652096,6562,6544,820522,866215
2020-03-01,2468,2494,392814,300538,3220,3232,397908,404888
2020-04-01,520,514,20640,31203,88,94,85,2884
2020-05-01,775,714,25555,14683,116,114,3208,2398
2020-06-01,956,828,53694,31888,656,660,46110,43428
2020-07-01,1150,871,82519,66918,880,971,72218,69307
2020-08-01,1235,999,71844,74487,728,710,61832,39885
2020-09-01,1276,1036,80609,77348,1062,1081,85574,60134
2020-10-01,1367,1174,96461,84709,1166,1158,86559,77665
2020-11-01,1428,1266,84734,96166,1185,1200,103793,91191
2020-12-01,1567,1408,84243,123388,1870,1869,150006,122159
2021-01-01,1359,1244,108125,66338,2015,2048,143645,179437
2021-02-01,1250,1203,89715,68400,1838,1865,135716,162507
2021-03-01,1510,1439,96930,73815,2135,2183,189493,195427
2021-04-01,1399,1338,94321,44361,1580,1640,118400,128653
2021-05-01,1415,1365,104356,60359,1862,1912,169695,183595
2021-06-01,1401,1394,111648,68952,2192,2219,198696,224119
2021-07-01,1419,1344,110203,62409,2543,2615,238783,272425
2021-08-01,1392,1369,112993,67728,1549,1631,121018,152481
2021-09-01,1467,1411,107618,74978,1956,2025,170462,189474
2021-10-01,1580,1501,125513,89615,2543,2622,255525,261578
2021-11-01,1629,1569,133869,102697,3165,3262,356929,386653
2021-12-01,1462,1733,141726,137849,4509,4524,591291,536027
2022-01-01,1659,1630,128483,95458,3459,3392,342861,421225
2022-02-01,1535,1542,163732,151934,3859,3804,459957,466535
2022-03-01,1892,1930,232944,255598,5473,5402,750735,733144
2022-04-01,2135,2127,318024,347463,6398,6338,921614,861790
2022-05-01,2307,2308,395901,392497,7289,7252,1060279,1065172
2022-06-01,2539,2536,448170,452301,7149,7136,1001869,1026737
2022-07-01,2920,2913,529426,538151,7298,7299,998564,1032957
2022-08-01,3123,3106,571443,489608,7209,7186,936281,991842
2022-09-01,3034,3034,546271,466855,6391,6398,810915,854077
2022-10-01,3332,3326,584641,551040,6399,6396,887046,903058
2022-11-01,3609,3610,610094,646056,6864,6883,902962,942634
2022-12-01,4036,4019,652195,831798,6952,6889,1130805,1009020
2023-01-01,3934,3946,867463,751144,7133,7110,1020518,1126494
2023-02-01,3597,3597,763004,686936,6519,6518,930039,989492
2023-03-01,4221,4217,859423,770089,7081,7085,1041558,1054027
2023-04-01,4350,4334,854903,824327,6681,6689,993435,996429
2023-05-01,4335,4340,845218,796577,7028,7027,1076681,1091421
2023-06-01,4163,4141,879518,868896,6718,6706,1060276,1071620
2023-07-01,4346,4330,942258,965584,7214,7222,1134740,1145461
2023-08-01,4429,4430,962377,833935,7151,7166,1048408,1108902
2023-09-01,4221,4215,821375,736371,6595,6606,891508,936025
2023-10-01,4433,4404,877516,786738,7210,7200,1002200,975898
2023-11-01,4559,4549,862443,932001,7115,7089,976216,1039008
2023-12-01,4893,4892,910383,1025355,7596,7576,1140378,1025039
2024-01-01,4866,4862,1067302,957800,7409,7391,1055741,1149197
2024-02-01,4524,4522,989471,895382,6968,6944,993293,1045005
2024-03-01,4850,4854,1030463,943916,7660,7637,1062202,1061408
2024-04-01,4736,4753,929622,934031,7434,7421,1131570,1133284
2024-05-01,4872,4869,955633,948754,7699,7706,1202998,1191934
2024-06-01,4820,4822,1038331,993172,7434,7420,1188711,1215724
2024-07-01,4855,4869,995418,1042862,7509,7479,1179951,1206836
2024-08-01,4871,4879,1011542,877221,7699,7677,1096717,1153906
2024-09-01,4576,4567,879991,796799,6995,6943,1094404,1027090
2024-10-01,4757,4747,964120,883220,7424,7473,1083689,1089752
2024-11-01,4658,4647,989286,1023924,7369,7355,1102218,1125359
2024-12-01,5009,5008,1022863,1194656,7801,7793,1258557,1141140
